Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,MN,2014,"11        ",Male,16,Right-Handed,150,24,40,2,Car,15,.382,43,Other,700,600,300,300,500,600,24,"Same length",50,55,"Ring finger",August,Winter,No,No,Meat,"Soft drink (caffeinated)","Mathematics and statistics",7,11,3,"Yes - broadband connection","Text messaging",15,40,5,.5,0,5,2,20,0,1,1,10,20,5,"A lot","Some college",Pop,"Freeze time",Rich,Other,Environment
USA,MN,2014,"11        ",Female,16,Left-Handed,150,14,150,1,Bus,37,.445,42,Tennis,5,25,25,25,25,100,14,"Same length",60,60,"Same length",November,Fall,No,No,Other,Juice,"Mathematics and statistics",8,12,3,"Yes - broadband connection","Text messaging",25,13,4,0,6,2,2,0,1,3,3,7,0,3,"A lot","Graduate degree",Pop,Telepathy,Happy,"Religious figure","International aid"
USA,MN,2014,"7         ",Female,12,Right-Handed,159,25,165,1,Car,10,,,Gymnastics,,,,,,,25.3,"Left foot",106,110,"Ring finger",July,Summer,Yes,No,Pizza/Pasta,Water,,6,2,4,"Yes - broadband connection","Text messaging",30,31,0,70,15,3,0,0,70,5,70,2,0,2,"A lot",,"Rap/Hip hop",Telepathy,Healthy,"Musician or singer",Health
USA,MN,2023,"10        ",Female,16,Right-Handed,166,26,170,1,Walk,2,.365,56,Walking/Hiking,80,75,45,70,60,80,25,"Right foot",,,,October,Fall,No,No,Desserts,Milk,Music,6,10,5,"Yes - broadband connection","Internet chat or instant messaging",10,20,2,3,5,1,1,30,10,3,50,0,20,3,"A lot",Other,Jazz,"Freeze time",Happy,Relative,"International aid"
USA,MN,2023,"10        ",Female,15,Right-Handed,162,26,155,2,Car,12,15,85,Other,1000,1000,500,500,100,500,28,"Left foot",7,6,"Index finger",April,Spring,No,No,Pizza/Pasta,Water,History,11,8,6,,"Cell phone",4,"12 ",50,50,30,100,10," 0",50,40,100,,,,Some,"Graduate degree","Rhythm and blues (R&B)",Telepathy,Healthy,Relative,"International aid"
USA,MN,2018,"9         ",Female,14,Right-Handed,165.1,24,168,2,Bus,35,0.367,39,Walking/Hiking,834,738,775,791,1000,1000,24,"Same length",100,100,"Ring finger",February,Summer,Yes,No,"Rice/Noodle dishes",Tea,"Mathematics and statistics",8,9,5,"Yes - broadband connection","Cell phone",2,6,4,1,6,10,5,1,10,2,15,6,0,5,"A lot","Graduate degree",Pop,Telepathy,Happy,"Community leader or elder",Religious
USA,MN,2014,"11        ",Female,15,Right-Handed,162,15,70,1,Car,7,.411,41,Dancing,900,900,400,400,700,900,15,"Same length",70,80,"Ring finger",January,Fall,No,No,Pizza/Pasta,"Sports drink",,6,8,5,"Yes - broadband connection","Text messaging",0,6,10,4,5,15,15,0,6,4,20,10,0,5,"Very little","Graduate degree",Pop,Invisibility,Happy,Other,"Wildlife, animals"
USA,MN,2016,"11        ",Female,15,Right-Handed,162,22,159,3,Car,15,0.317,35,Basketball,500,200,1000,500,500,600,22,"Same length",80,65,"Index finger",February,Summer,Yes,No,Meat,Coffee,Art,6,9,5,"Yes - broadband connection","Text messaging",60,80,14,3,24,20,10,7,15,15,40,21,4,8,"A lot","Graduate degree",Pop,Telepathy,Famous,"Doctor or nurse",Health
USA,MN,2020,"9         ",Female,14,Left-Handed,164,25,168,1,Car,13,0.345,33,Baseball/Softball,700,700,700,700,400,600,25,"Same length",85,70,"Index finger",July,Summer,No,No,Meat,Water,"Physical education",7,6,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",20,50,1,4,8,20,15,25,50,20,50,10,0,40,Some,"Some college","Rock and roll","Super strength",Rich,Relative,Health
USA,MN,2018,"9         ",Female,14,Left-Handed,162.5,24.1,,2,Bus,130,1.554,49,Dancing,1000,1000,1000,50,0,0,24.1,"Same length",2,1,"Index finger",December,Summer,No,No,Desserts,Water,History,8,6,5,"No internet connection",,0,0,0,0,2,8,0,0,0,0,0,1,0,5,"A lot",Other,Other,"Freeze time",Happy,"Musician or singer","International aid"
